1,1_3,3,0.8,a,1,放纵
2,2_3,3,0.8,b,9,喜爱
3,3_3,3,0.8,c,0,无
4,4_3,3,0.8,d,2,勇敢
5,5_3,3,0.8,e,6,痛苦
6,6_3,3,0.8,f,0,无
7,7_4,4,1,a,5,悲伤
8,8_4,4,1,b,0,无
9,9_4,4,1,c,6,痛苦
10,10_4,4,1,d,0,无
11,11_4,4,1,e,4,骄傲
12,12_4,4,1,f,0,无
13,13_5,5,1.3,a,0,无
14,14_5,5,1.3,b,5,悲伤
15,15_5,5,1.3,c,0,无
16,16_5,5,1.3,d,9,喜爱
17,17_5,5,1.3,e,0,无
18,18_5,5,1.3,f,3,高兴
19,19_6,6,1.5,a,0,无
20,20_6,6,1.5,b,8,厌恶
21,21_6,6,1.5,c,0,无
22,22_6,6,1.5,d,5,悲伤
23,23_6,6,1.5,e,0,无
24,24_6,6,1.5,f,7,自卑
25,25_7,7,1.8,a,0,无
26,26_7,7,1.8,b,0,无
27,27_7,7,1.8,c,2,勇敢
28,28_7,7,1.8,d,0,无
29,29_7,7,1.8,e,0,无
30,30_7,7,1.8,f,6,痛苦
31,31_8,8,2,a,12,邪恶
32,32_8,8,2,b,0,无
33,33_8,8,2,c,3,高兴
34,34_8,8,2,d,0,无
35,35_8,8,2,e,0,无
36,36_8,8,2,f,8,厌恶
37,37_9,9,2.3,a,0,无
38,38_9,9,2.3,b,0,无
39,39_9,9,2.3,c,4,骄傲
40,40_9,9,2.3,d,0,无
41,41_9,9,2.3,e,0,无
42,42_9,9,2.3,f,7,自卑
43,43_10,10,2.5,a,0,无
44,44_10,10,2.5,b,12,邪恶
45,45_10,10,2.5,c,0,无
46,46_10,10,2.5,d,3,高兴
47,47_10,10,2.5,e,0,无
48,48_10,10,2.5,f,10,压制
49,49_11,11,2.8,a,0,无
50,50_11,11,2.8,b,0,无
51,51_11,11,2.8,c,4,骄傲
52,52_11,11,2.8,d,0,无
53,53_11,11,2.8,e,11,兴奋
54,54_11,11,2.8,f,0,无
55,55_12,12,3,a,2,勇敢
56,56_12,12,3,b,0,无
57,57_12,12,3,c,11,兴奋
58,58_12,12,3,d,10,压制
59,59_12,12,3,e,0,无
60,60_12,12,3,f,1,放纵
