1,1_1,1,0.8,a,1,放纵
2,2_1,1,0.8,b,9,喜爱
3,3_1,1,0.8,c,0,无
4,4_1,1,0.8,d,2,勇敢
5,5_1,1,0.8,e,6,痛苦
6,6_1,1,0.8,f,0,无
7,7_1,1,1,a,5,悲伤
8,8_1,1,1,b,0,无
9,9_1,1,1,c,6,痛苦
10,10_1,1,1,d,0,无
11,11_2,2,1,e,4,骄傲
12,12_2,2,1,f,0,无
13,13_2,2,1.3,a,0,无
14,14_2,2,1.3,b,5,悲伤
15,15_2,2,1.3,c,0,无
16,16_2,2,1.3,d,9,喜爱
17,17_2,2,1.3,e,0,无
18,18_2,2,1.3,f,3,高兴
19,19_2,2,1.5,a,0,无
20,20_2,2,1.5,b,8,孤独
21,21_3,3,1.5,c,0,无
22,22_3,3,1.5,d,5,悲伤
23,23_3,3,1.5,e,0,无
24,24_3,3,1.5,f,7,善良
25,25_3,3,1.8,a,0,无
26,26_3,3,1.8,b,0,无
27,27_3,3,1.8,c,2,勇敢
28,28_3,3,1.8,d,0,无
29,29_3,3,1.8,e,0,无
30,30_3,3,1.8,f,6,痛苦
31,31_4,4,2,a,12,邪恶
32,32_4,4,2,b,0,无
33,33_4,4,2,c,3,高兴
34,34_4,4,2,d,0,无
35,35_4,4,2,e,0,无
36,36_4,4,2,f,8,孤独
37,37_4,4,2.3,a,0,无
38,38_4,4,2.3,b,0,无
39,39_4,4,2.3,c,4,骄傲
40,40_4,4,2.3,d,0,无
41,41_5,5,2.3,e,0,无
42,42_5,5,2.3,f,7,善良
43,43_5,5,2.5,a,0,无
44,44_5,5,2.5,b,12,邪恶
45,45_5,5,2.5,c,0,无
46,46_5,5,2.5,d,3,高兴
47,47_5,5,2.5,e,0,无
48,48_5,5,2.5,f,10,压制
49,49_5,5,2.8,a,0,无
50,50_5,5,2.8,b,0,无
51,51_6,6,2.8,c,4,骄傲
52,52_6,6,2.8,d,0,无
53,53_6,6,2.8,e,11,兴奋
54,54_6,6,2.8,f,0,无
55,55_6,6,3,a,2,勇敢
56,56_6,6,3,b,0,无
57,57_6,6,3,c,11,兴奋
58,58_6,6,3,d,10,压制
59,59_6,6,3,e,0,无
60,60_6,6,3,f,1,放纵
61,61_7,7,3.5,a,1,放纵
62,62_7,7,3.5,b,9,喜爱
63,63_7,7,3.5,c,0,无
64,64_7,7,3.5,d,2,勇敢
65,65_7,7,3.5,e,6,痛苦
66,66_7,7,3.5,f,0,无
67,67_7,7,3.5,a,5,悲伤
68,68_7,7,3.5,b,0,无
69,69_7,7,3.5,c,6,痛苦
70,70_7,7,3.5,d,0,无
71,71_8,8,4,e,4,骄傲
72,72_8,8,4,f,0,无
73,73_8,8,4,a,0,无
74,74_8,8,4,b,5,悲伤
75,75_8,8,4,c,0,无
76,76_8,8,4,d,9,喜爱
77,77_8,8,4,e,0,无
78,78_8,8,4,f,3,高兴
79,79_8,8,4,a,0,无
80,80_8,8,4,b,12,邪恶
81,81_9,9,4.5,c,0,无
82,82_9,9,4.5,d,3,高兴
83,83_9,9,4.5,e,0,无
84,84_9,9,4.5,f,10,压制
85,85_9,9,4.5,a,0,无
86,86_9,9,4.5,b,0,无
87,87_9,9,4.5,c,4,骄傲
88,88_9,9,4.5,d,0,无
89,89_9,9,4.5,e,11,兴奋
90,90_9,9,4.5,f,0,无
91,91_10,10,5,a,2,勇敢
92,92_10,10,5,b,0,无
93,93_10,10,5,c,11,兴奋
94,94_10,10,5,d,10,压制
95,95_10,10,5,e,0,无
96,96_10,10,5,f,1,放纵
97,97_10,10,5,a,0,无
98,98_10,10,5,b,0,无
99,99_10,10,5,c,4,骄傲
100,100_10,10,5,d,0,无
