0 ,0,0-0,0,0,0-0,0-0,0,0,0-0-0-0-0-0-0-0,0,0,0,0,1,0,0,0,0,0,,,,,,,
1 ,诞生,0-0,1,0,0-0,0-0,0,0,0-0-0-0-0-0-0-0,0,0,0,0,1,0,0,1,0,0,,,,,,,
2 ,出生情况,0-0,1,0,0-0,0-0,0,0,0-0-0-0-0-0-0-0,1,0,0,0,1,0,0,1,0,0,,,,,,,
3 ,我的名字,0-0,1,0,0-0,0-0,0,0,0-0-0-0-0-0-0-0,2,0,0,0,1,0,0,1,0,0,,,,,,,
4 ,打疫苗,0-2,1,0,0-0,0-0,0,0,0-0-0-0-0-0-0-0,3,0,0,0,1,1,3,1,0,0,,,,,,,
5 ,喝奶,0-1,1,0,0-0,0-0,0,0,0-0-0-0-0-0-0-0,0,0,0,0,1,0,0,1,0,0,,,,,,,
6 ,咿呀学语,0-0,1,0,0-0,0-0,0,0,0-0-0-0-0-0-0-0,0,0,0,0,1,0,0,1,0,0,,,,,,,
7 ,叫爸爸妈妈,1-1,0,1,0-0,0-0,0,0,0-0-0-0-0-0-0-0,7,0,0,0,1,0,0,1,0,0,,,,,,,
8 ,流利说话,2-2,0,1,0-0,0-0,0,0,0-0-0-0-0-0-0-0,7,0,0,0,1,0,0,1,0,0,,,,,,,
9 ,模仿动作,0-1,1,0,0-0,0-0,0,0,0-0-0-0-0-0-0-0,0,0,0,0,1,0,0,1,0,0,,,,,,,
10 ,尝试爬行,0.7-1,1,0,0-0,0-0,0,0,0-0-0-0-0-0-0-0,0,0,0,0,1,0,0,1,0,0,,,,,,,
11 ,尝试走路,1-1,1,0,0-0,0-0,0,0,0-0-0-0-0-0-0-0,0,0,0,0,1,0,0,1,0,0,,,,,,,
12 ,奔跑吧,1-1,1,0,0-0,0-0,0,0,0-0-0-0-0-0-0-0,0,0,0,0,1,1,0,1,0,0,,,,,,,
34 ,自闭症,3-6,0,0.01,0-0,0-0,0,0,0-0-0-0-0-0-0-0,0,0,0,0,1,0,0,1,0,0,,,,,,,
